116.102.140.242 - - [02/May/2017:02:53:40 +0000] "GET / HTTP/1.1" 200 8624 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
116.102.140.242 - - [02/May/2017:02:53:40 +0000] "GET /main.css HTTP/1.1" 200 11136 "http://45.76.177.252:8889/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
116.102.140.242 - - [02/May/2017:02:53:40 +0000] "GET /main.js HTTP/1.1" 200 19677 "http://45.76.177.252:8889/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
116.102.140.242 - - [02/May/2017:02:53:41 +0000] "GET /firebase-logo.png HTTP/1.1" 200 3542 "http://45.76.177.252:8889/main.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
116.102.140.242 - - [02/May/2017:02:53:41 +0000] "GET /favicon.ico HTTP/1.1" 200 8624 "http://45.76.177.252:8889/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
116.102.140.242 - - [02/May/2017:02:54:07 +0000] "GET /silhouette.jpg HTTP/1.1" 200 4536 "http://45.76.177.252:8889/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
116.102.140.242 - - [02/May/2017:03:12:07 +0000] "GET / HTTP/1.1" 200 8624 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
116.102.140.242 - - [02/May/2017:03:12:09 +0000] "GET /main.css HTTP/1.1" 200 11136 "http://45.76.177.252:8889/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
116.102.140.242 - - [02/May/2017:03:12:09 +0000] "GET /main.js HTTP/1.1" 200 20256 "http://45.76.177.252:8889/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
116.102.140.242 - - [02/May/2017:03:12:12 +0000] "GET /firebase-logo.png HTTP/1.1" 200 3542 "http://45.76.177.252:8889/main.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
116.102.140.242 - - [02/May/2017:03:12:13 +0000] "GET /favicon.ico HTTP/1.1" 200 8624 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
116.102.140.242 - - [02/May/2017:03:12:14 +0000] "GET /favicon.ico HTTP/1.1" 206 8624 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
116.102.140.242 - - [02/May/2017:03:12:32 +0000] "GET /main.js HTTP/1.1" 304 0 "http://45.76.177.252:8889/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
116.102.140.242 - - [02/May/2017:03:12:43 +0000] "GET /main.js HTTP/1.1" 304 0 "http://45.76.177.252:8889/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
116.102.140.242 - - [02/May/2017:03:14:58 +0000] "GET / HTTP/1.1" 200 8657 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
116.102.140.242 - - [02/May/2017:03:14:58 +0000] "GET /main.css HTTP/1.1" 304 0 "http://45.76.177.252:8889/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
